Nazwa;KCAL;WEGLOWODANY;BIALKO;TLUSZCZ
Soczewica, suche nasiona;327;25.4;3.0;57.5
Soczewica, kielki;119;9.0;0.6;22.1
Soja, kielki;141;13.1;6.7;9.6
Soja, suche nasiona;382;34.2;19.6;32.7
Sola swieza;83;17.5;1.4;0.0
Sok ananasowy;48;0.3;0.1;11.4
Sok cytrynowy;30;0.4;0.3;6.4
Sok grejpfrutowy;40;0.5;0.1;9.2
Sok jablkowy;42;0.1;0.1;10.0
Sok marchwiowo-brzoskwiniowy;44;0.5;0.1;11.3
Sok marchwiowo-jablkowy;46;0.5;0.3;12.3
Sok marchwiowy;43;0.4;0.1;11.3
Sok pomaranczowy;43;0.6;0.1;9.9
Sok pomidorowy;13;0.8;0.1;2.6
Sok wielowarzywny;25;1.0;0.3;5.7
Sok z czarnej porzeczki;53;0.3;0.1;12.7
Sprite, napoj;42;0.0;0.0;10.5
Stek wieprzowy;472;21.7;42.7;1.5
Surowka wielowarzywna z jogurtem;36;1.7;0.6;7.0
Surowka z cykorii i jablek;162;1.0;16.4;3.8
Surowka z kap. bialej;67;1.6;4.7;7.0
Surowka z kap. kwaszonej;68;0.9;4.7;7.5
Surowka z kap. pekinskiej;94;1.6;8.1;6.0
Surowka z marchwi i jablek;59;1.0;0.3;16.5
Surowka z ogorkow i pomidorow;32;1.1;1.8;3.6
Surowka z owocow;102;0.5;0.3;25.9
Surowka z owocow i warzyw;147;1.1;14.3;5.1
Surowka z papryki;90;1.0;7.5;6.3
Surowka z pomidorow;14;0.8;0.2;14.0
Surowka z porow z jablkami;140;1.7;12.5;7.9
Surowka z rzodkiewki;93;7.5;3.5;9.3
Surowka z selerow;92;1.1;7.5;8.9
Surowka z selerow, jablka i marchwi;60;0.9;0.4;16.5
Syrop truskawkowy;262;0.2;0.1;62.0
Szampan polslodki, alkohol;97;0.2;0.0;7.0
Szampan wytrawny;83;0.1;0.0;3.4
Szampan slodki;117;0.2;0.0;12.0
Szczaw;21;1.1;0.8;4.9
Szczupak swiezy;82;18.4;0.8;0.0
Szczypiorek;29;4.1;0.8;3.9
Szparagi;18;1.9;0.2;3.7
Szpinak;16;2.6;0.4;3.0
Szpinak mrozony;15;2.3;0.4;2.7
Szpinak zasmazany;83;3.7;6.1;6.2
Sztuka miesa wolowego;224;30.6;10.3;3.2
Szynka delikatesowa z kurczaka;123;18.2;5.6;0.0
Szynka wiejska;253;17.1;20.3;0.9
Szynka wieprzowa gotowana;233;16.4;18.3;1.0
Szynka wolowa gotowana;107;20.9;2.0;1.1
Szynka z indyka;84;17.1;1.6;0.1
Szynka z udka kurczaka;117;17.2;5.3;0.0
Szynkowka wieprzowa;191;13.6;14.7;1.4
Sliwki;45;0.6;0.2;11.7
Sliwki suszone;267;3.5;1.2;68.9
Sliwki dzem niskoslodzony;153;0.3;0.1;37.9
Sliwki dzem wysokoslodzony;251;0.3;0.1;62.1
Sliwki, powidla;214;1.0;0.2;53.0
Sledz solony;218;19.8;15.4;0.0
Sledz swiezy;162;16.3;10.7;0.0
Sledz w oleju, konserwa;343;19.7;29.4;0.0
Sledz w pomidorach, konserwa;177;13.7;12.8;1.8
Smietana 12%;133;2.7;12.0;3.9
Smietana 18%;184;2.5;18.0;3.6
Smietanka do kawy 9%;107;2.8;9.0;4.0
Smietanka kremowa 30%;287;2.2;30.0;3.1
Teatralny, wafel;546;8.0;31.0;58.0
Tic-tac, draze;390;0.0;0.0;97.5
Tluszcz roslinny Planta;900;0.0;100.0;0.0
Toffifee, czekoladki;535;6.0;31.0;58.0
Tran;900;0.0;100.0;0.0
Truskawki;28;0.7;0.4;7.2
Truskawki w galaretce;126;15.4;0.2;16.0
Truskawki z bita smietana;127;1.1;10.4;8.4
Truskawki, dzem niskoslodzony;153;0.3;0.2;37.8
Truskawki, dzem wysokoslodzony;252;0.3;0.2;62.3
Tunczyk w oleju;190;27.1;9.0;0.0
Tunczyk w wodzie;96;21.0;1.2;0.0
Twix, baton;487;5.3;23.2;64.2
Udko z kurczaka bez skory;125;17.8;6.0;0.0
Udko z kurczaka ze skora;161;17.8;10.0;0.0
Udziec barani;234;18.0;18.0;0.0
Udziec cielecy;108;19.9;3.1;0.0
Wafle Familijne;533;7.1;29.6;59.5
Wafle Grzeski;550;8.5;34.5;51.2
Wafle Kinder Bueno;532;5.5;35.5;47.6
Wafle nadziewane;519;8.3;27.5;60.7
Wafle Prince Polo;534;4.8;31.5;57.5
Wafle Princessa;562;4.1;34.6;58.4
Wafle Teatralne;546;8.0;31.0;58.0
Wafle w czekoladzie;553;7.4;33.9;55.6
Wasa, pieczywo chrupkie;360;12.0;2.2;73.0
Watroba ciel.;124;19.2;3.3;4.1
Watroba drobiowa;136;19.1;6.3;0.6
Watroba wieprzowa;130;22.0;3.4;2.6
Watroba wolowa;125;20.0;3.1;4.0
Watrobka wieprzowa saute;239;20.5;15.5;4.9
Wermut, wino;104;0.0;0.0;7.9
Wedzonka wolowa gotowana;102;17.8;3.1;0.5
Wegorz swiezy;281;12.7;25.6;0.0
Wegorz wedzony;326;17.9;28.6;0.0
Whisky, alkohol;225;0.0;0.0;0.0
Wieprzowina duszona;225;11.4;19.8;1.2
Wieprzowina gotowana;364;22.6;30.0;3.1
Wieprzowina, boczek;510;10.1;53.0;0.0
Wieprzowina, golonka;294;18.6;24.7;0.0
Wieprzowina, karkowka;267;16.1;22.8;0.0
Wieprzowina, lopatka;257;16.0;21.7;0.0
Wieprzowina, podgardle;630;7.4;67.8;0.0
Wieprzowina, schab surowy;174;21.0;10.0;0.0
Wieprzowina, szynka surowa;261;18.0;21.3;0.0
Wieprzowina, zeberka;321;15.2;29.3;0.0
Wino biale polslodkie;92;0.0;0.0;4.4
Wino biale polwytrawne;78;0.0;0.0;3.7
Wino biale wytrawne;73;0.0;0.0;2.4
Wino czerwone polslodkie;96;0.0;0.0;5.5
Wino czerwone slodkie;106;0.1;0.0;8.2
Wino czerwone wytrawne;75;0.0;0.0;3.0
Winogrona;69;0.5;0.2;17.6
Wiorki kokosowe;606;5.6;63.2;27.0
Wisnie;47;0.9;0.4;10.9
Wisnie, dzem niskoslodzony;154;0.4;0.2;37.8
Wisnie, dzem wysokoslodzony;252;0.4;0.2;61.7
Wloszczyzna mrozona;25;1.4;0.3;7.9
Wolowina, poledwica;112;20.1;3.5;0.0
Wolowina, pieczen;117;20.9;3.6;0.0
Wolowina, rostbef;152;21.5;7.3;0.0
Wolowina, rozbratel;157;16.7;10.1;0.0
Wolowina, szponder;217;19.3;15.7;0.0
Wodka, srednio;225;0.0;0.0;0.0
Zarodki pszenne;377;27.5;9.4;45.5
Ziemniaki pozne;85;1.9;0.1;20.5
Ziemniaki puree;90;2.1;1.4;18.4
Ziemniaki wczesne;69;1.8;0.1;16.3
Ziemniaki z tluszczem;106;2.0;3.1;18.7
Zupa cebulowa;44;1.4;2.7;4.0
Zupa cytrynowa z ryzem;58;1.4;2.2;8.7
Zupa fasolowa;62;4.0;1.8;10.0
Zupa grochowa;66;4.4;2.4;8.9
Zupa grzybowa zabielana;26;1.3;1.8;1.3
Zupa jarzynowa;43;1.7;1.8;6.2
Zupa jesienna mrozona;27;1.6;0.2;7.2
Zupa kalafiorowa;28;1.6;0.5;4.9
Zupa kalafiorowa mrozona;22;2.0;0.2;5.5
Zupa neapolitanska;63;2.2;2.6;8.2
Zupa ogorkowa;42;1.4;2.0;5.0
Zupa owocowa z jablek;42;0.1;0.1;11.8
Zupa pomidorowa;11;1.0;0.1;2.1
Zupa pomidorowa z makaronem;35;1.5;1.8;3.3
Zupa pomidorowa z ryzem;37;1.5;1.8;3.9
Zupa pomidorowa zabielana;28;1.3;1.8;1.9
Zupa selerowa;37;1.6;1.8;4.5
Zupa selerowa z grzankami;51;1.8;1.9;8.1
Zupa szczawiowa;40;1.6;2.5;2.9
Zupa szpinakowa z ziemniakami;40;2.2;0.9;6.6
Zupa z fasoli szparagowej;43;2.2;0.6;8.9
Zupa z porow z makaronem;58;2.4;1.4;10.3
Zupa z zielonego groszku;56;3.2;1.2;11.2
Zupa ziemniaczana;39;1.4;1.1;6.6
Zeberka wieprzowe duszone;210;7.9;19.2;2.2
Zoltko jaja kurzego;314;15.5;28.2;0.3
Zurawiny;51;0.4;0.1;19.9
Zurek;124;2.2;3.1;23.5
